Word	pierre	peter	andrew	ferdinand	constantine	ilyá	nataly	natásha	pétya	joseph	alexander	dmítri	mary	márya	michael	paul	anna	másha	hélène	anatole	hippolyte	lise	sónya	nicholas	platón	cyril	vasíli	bonaparte	napoleon	bagratión	kutúzov	arakchéev	kurákin	bezúkhov	bezúkhova	campan	sorbier	fouché	davout	murat	wolzogen	barclay	kurágin	kurágina	volkónski	ermólov	schérer	dólokhov	karatáev	rostopchín	nesvítski	alexéevich	andréevich	vladímirovich	ivánovich	vasílevich	nikoláevich	pávlovich	milorádovich	mikháylovna	pávlovna	abrámovna	general	colonel	marshal	adjutant	emperor	prince	count	duke	archduke	princess	countess	moscow	petersburg	pávlograd	borodinó	kalúga	paris	vienna	russia	france	austria	|	Label
war	5	0	11	0	0	0	0	0	0	0	4	0	1	0	2	1	4	0	0	0	0	1	0	4	0	0	2	6	17	1	7	2	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	2	0	12	1	1	4	11	19	4	3	0	3	1	4	1	0	0	0	0	0	8	0	3	|	WAR
fight	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	3	0	0	2	0	0	0	3	0	2	|	WAR
field	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	19	4	3	3	0	0	0	0	1	3	1	1	8	0	1	0	2	0	0	|	WAR
hospital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	|	WAR
battle	6	0	10	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	18	3	23	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	3	11	4	0	0	0	2	28	1	0	57	0	1	0	0	0	0	|	WAR
army	5	0	16	3	1	0	0	1	1	0	3	0	2	0	0	0	1	0	2	1	0	0	3	8	0	0	1	2	30	2	27	0	0	0	0	0	0	0	1	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	1	0	2	28	18	2	1	4	1	2	54	7	2	7	5	1	2	8	2	2	|	WAR
enemy	2	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	3	5	1	0	0	1	0	10	0	1	2	0	0	1	6	0	0	|	WAR
gun	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	WAR
cannon	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|	WAR
shell	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	|	WAR
